Size,Held-Karp Runtime (ms),Held-Karp Tour Length,Local Search Runtime (ms),Local Search Tour Length
1,0.09519999999974971,0,0.15590000000020154,0
2,0.546100000000024,94,1.6363000000001193,94
3,1.326499999999669,94,0.16519999999991342,94
4,0.11180000000013024,82,0.8606999999997242,78
5,0.08120000000008076,170,0.057699999999840657,144
6,0.3453000000004067,160,0.23869999999988067,129
7,1.3472000000001572,165,1.8906000000001768,165
8,2.5533000000000357,98,0.05819999999994252,94
9,2.5346999999997024,188,0.09120000000029904,180
10,7.5779999999999745,172,0.16620000000011714,186
11,12.893300000000181,173,0.2665999999999258,181
12,27.182400000000143,134,0.12359999999989668,165
13,63.933899999999994,166,0.28789999999980864,169
14,192.16560000000027,191,0.7047000000002299,232
15,502.0662000000002,110,0.4408000000003085,126
16,1401.0393999999997,156,0.9602000000004409,158
17,3700.5312000000004,171,1.7763000000004467,193
18,8620.306900000001,167,1.8823999999985972,173
19,18690.1853,185,3.2511999999987893,205